IFDM - Índice Firjan de Desenvolvimento Municipal (NOVO)
Sigla;Código;Município;2019;2020;2021;2022;2023;
AL;2708204;São Brás;0,3914;0,4298;0,4101;0,4622;0,5204;
AL;2708303;São José da Laje;0,5049;0,5219;0,6227;0,6309;0,7053;
AL;2708402;São José da Tapera;0,4636;0,4881;0,4792;0,5397;0,5463;
AL;2708501;São Luís do Quitunde;0,5089;0,511;0,5276;0,5766;0,5811;
AL;2708600;São Miguel dos Campos;0,5647;0,5782;0,5917;0,6265;0,6777;
AL;2708709;São Miguel dos Milagres;0,4457;0,4415;0,5004;0,5622;0,6121;
AL;2708808;São Sebastião;0,4308;0,4099;0,4329;0,5569;0,5288;
AL;2708907;Satuba;0,4402;0,4523;0,4718;0,4869;0,5444;
AL;2708956;Senador Rui Palmeira;0,4297;0,4268;0,4192;0,4629;0,5013;
AL;2709004;Tanque d'Arca;0,4784;0,4594;0,4866;0,4762;0,4885;
AL;2709103;Taquarana;0,4881;0,4681;0,467;0,5349;0,5473;
AL;2709152;Teotônio Vilela;0,6236;0,6383;0,6345;0,6504;0,6923;
AL;2709202;Traipu;0,4278;0,3809;0,3977;0,4899;0,4994;
AL;2709301;União dos Palmares;0,4548;0,4745;0,5134;0,5502;0,6292;
AL;2709400;Viçosa;0,4913;0,4955;0,4982;0,5493;0,5223;
AM;1300029;Alvarães;0,2616;0,3232;0,2692;0,3005;0,3292;
AM;1300060;Amaturá;0,3407;0,3107;0,302;0,3392;0,3589;
AM;1300086;Anamã;0,2888;0,3498;0,2548;0,2665;0,2471;
AM;1300102;Anori;0,2693;0,3496;0,3073;0,3666;0,2997;
AM;1300144;Apuí;0,3476;0,4144;0,4121;0,4079;0,4006;
AM;1300201;Atalaia do Norte;0,2101;0,2291;0,2262;0,289;0,2455;
AM;1300300;Autazes;0,2873;0,2751;0,2283;0,2412;0,2893;
AM;1300409;Barcelos;0,2298;0,2988;0,2397;0,2436;0,2739;
AM;1300508;Barreirinha;0,2418;0,3105;0,268;0,3057;0,3127;
AM;1300607;Benjamin Constant;0,3178;0,3397;0,3141;0,3393;0,3599;
AM;1300631;Beruri;0,2279;0,2369;0,2204;0,2505;0,2483;
AM;1300680;Boa Vista do Ramos;0,2529;0,3237;0,2784;0,3889;0,4001;
AM;1300706;Boca do Acre;0,3597;0,3538;0,3119;0,3714;0,4198;
AM;1300805;Borba;0,2725;0,3181;0,2777;0,3023;0,3285;
AM;1300839;Caapiranga;0,2744;0,2584;0,2977;0,3082;0,3523;
AM;1300904;Canutama;0,2037;0,2457;0,2312;0,2812;0,3011;
AM;1301001;Carauari;0,3768;0,3994;0,3451;0,3754;0,3894;
AM;1301100;Careiro;0,3022;0,3096;0,3086;0,3739;0,4336;
AM;1301159;Careiro da Várzea;0,3082;0,3321;0,3379;0,3455;0,3577;
AM;1301209;Coari;0,3331;0,36;0,3337;0,3466;0,3784;
AM;1301308;Codajás;0,2555;0,3054;0,274;0,2932;0,3163;
AM;1301407;Eirunepé;0,2486;0,2867;0,3001;0,2885;0,3451;
AM;1301506;Envira;0,2166;0,2993;0,2757;0,2984;0,3217;
AM;1301605;Fonte Boa;0,2599;0,3101;0,2891;0,3255;0,3709;
AM;1301654;Guajará;0,2561;0,2804;0,2888;0,285;0,3179;
AM;1301704;Humaitá;0,404;0,4457;0,4422;0,4522;0,492;
AM;1301803;Ipixuna;0,2146;0,2479;0,1544;0,1956;0,1485;
AM;1301852;Iranduba;0,3612;0,3712;0,3243;0,3891;0,4365;
AM;1301902;Itacoatiara;0,4089;0,4225;0,4053;0,4283;0,455;
AM;1301951;Itamarati;0,3079;0,3331;0,3556;0,3864;0,3136;
AM;1302009;Itapiranga;0,3491;0,4367;0,3868;0,4299;0,441;
AM;1302108;Japurá;0,2791;0,3226;0,3714;0,3608;0,3294;
AM;1302207;Juruá;0,3352;0,325;0,2761;0,3453;0,331;
AM;1302306;Jutaí;0,2137;0,2391;0,1982;0,1905;0,1802;
AM;1302405;Lábrea;0,3167;0,3305;0,3208;0,3459;0,3407;
AM;1302504;Manacapuru;0,3824;0,386;0,3517;0,3815;0,4185;
AM;1302553;Manaquiri;0,2759;0,3103;0,2621;0,3124;0,3247;
AM;1302603;Manaus;0,5764;0,6033;0,6143;0,6353;0,6555;
AM;1302702;Manicoré;0,3243;0,3393;0,3276;0,3699;0,4357;
AM;1302801;Maraã;0,2462;0,2995;0,206;0,2859;0,2806;
AM;1302900;Maués;0,2746;0,2991;0,254;0,2906;0,3027;
AM;1303007;Nhamundá;0,3206;0,3585;0,3401;0,3544;0,3872;
AM;1303106;Nova Olinda do Norte;0,2503;0,29;0,277;0,2873;0,3606;
